"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"11/04/2025","Sell to Close","GS 11/07/2025 820.00 C","CALL GOLDMAN SACHS GROUP$820 EXP 11/07/25","1","$2.72","$0.66","$271.34"
"11/04/2025 as of 11/03/2025","MoneyLink Transfer","","Tfr WELLS FARGO BANK N, IRIS P CAMPOS","","","","$3200.00"
"11/03/2025 as of 10/31/2025","Expired","IREN 10/31/2025 70.00 C","CALL IREN LTD $70 EXP 10/31/25","-1","","",""
"11/03/2025 as of 10/31/2025","Expired","TSLA 10/31/2025 750.00 C","CALL TESLA INC $750 EXP 10/31/25","-25","","",""
"11/03/2025 as of 10/31/2025","Expired","OKLO 10/31/2025 110.00 P","PUT OKLO INC $110 EXP 10/31/25","-3","","",""
"11/03/2025 as of 10/31/2025","Expired","LLY 10/31/2025 880.00 C","CALL ELI LILLY AND CO $880 EXP 10/31/25","-1","","",""
"11/03/2025 as of 10/31/2025","Expired","ISRG 10/31/2025 600.00 C","CALL INTUITIVE SURGICAL $600 EXP 10/31/25","-3","","",""
"11/03/2025 as of 10/31/2025","Expired","ORCL 10/31/2025 300.00 C","CALL ORACLE CORP $300 EXP 10/31/25","-1","","",""
"11/03/2025 as of 10/31/2025","Expired","ORCL 10/31/2025 265.00 C","CALL ORACLE CORP $265 EXP 10/31/25","-2","","",""
"11/03/2025 as of 10/31/2025","Expired","META 10/31/2025 820.00 C","CALL META PLATFORMS INC $820 EXP 10/31/25","-1","","",""
"11/03/2025 as of 10/31/2025","Expired","GS 10/31/2025 820.00 C","CALL GOLDMAN SACHS GROUP$820 EXP 10/31/25","-3","","",""
"11/03/2025 as of 10/31/2025","Expired","CRWV 10/31/2025 150.00 C","CALL COREWEAVE INC $150 EXP 10/31/25","-2","","",""
"11/03/2025 as of 10/31/2025","Expired","COIN 10/31/2025 300.00 P","PUT COINBASE GLOBAL INC $300 EXP 10/31/25","-2","","",""
"11/03/2025 as of 10/31/2025","Expired","COIN 10/31/2025 370.00 C","CALL COINBASE GLOBAL INC$370 EXP 10/31/25","-1","","",""
"11/03/2025 as of 10/31/2025","Expired","ALGN 10/31/2025 160.00 C","CALL ALIGN TECHNOLOGY IN$160 EXP 10/31/25","-2","","",""
"10/31/2025","Cash Dividend","MSTY","YIELDMAX MSTR OPT INCM STRTGY ETF","","","","$9.62"
"10/31/2025","Sell to Close","SPXW 10/31/2025 6830.00 P","PUT S & P ...500 INDEX $6830 EXP 10/31/25","1","$13.50","$1.22","$1348.78"
"10/31/2025","Buy to Open","SPXW 10/31/2025 6830.00 P","PUT S & P ...500 INDEX $6830 EXP 10/31/25","1","$7.90","$1.22","-$791.22"
"10/31/2025","Buy to Open","ORCL 10/31/2025 265.00 C","CALL ORACLE CORP $265 EXP 10/31/25","2","$1.18","$1.32","-$237.32"
"10/31/2025","Buy to Open","GS 11/07/2025 820.00 C","CALL GOLDMAN SACHS GROUP$820 EXP 11/07/25","1","$2.90","$0.66","-$290.66"
"10/31/2025","Sell to Open","CIFR 11/14/2025 22.00 C","CALL CIPHER MNG INC $22 EXP 11/14/25","2","$1.88","$1.33","$374.67"
"10/31/2025","Buy","CIFR","CIPHER MNG INC","200","$19.97","","-$3994.00"
"10/31/2025 as of 10/30/2025","Expired","SPXW 10/30/2025 6970.00 C","CALL S & P ...500 INDEX $6970 EXP 10/30/25","-1","","",""
"10/31/2025 as of 10/30/2025","Expired","SPXW 10/30/2025 6800.00 P","PUT S & P ...500 INDEX $6800 EXP 10/30/25","-1","","",""
"10/31/2025 as of 10/30/2025","MoneyLink Transfer","","Tfr WELLS FARGO BANK N, IRIS P CAMPOS","","","","$50.00"
"10/30/2025","Credit Interest","","SCHWAB1 INT 09/29-10/29","","","","$0.29"
"10/30/2025","Margin Interest","","INTEREST 09/29THRU 10/29","","","","-$3.11"
"10/30/2025","Buy to Open","LLY 10/31/2025 880.00 C","CALL ELI LILLY AND CO $880 EXP 10/31/25","1","$2.23","$0.66","-$223.66"
"10/30/2025","Sell to Close","LLY 10/31/2025 850.00 C","CALL ELI LILLY AND CO $850 EXP 10/31/25","1","$6.86","$0.66","$685.34"
"10/30/2025","Buy to Open","SPXW 10/30/2025 6800.00 P","PUT S & P ...500 INDEX $6800 EXP 10/30/25","1","$2.95","$1.22","-$296.22"
"10/30/2025","Buy to Open","COIN 10/31/2025 370.00 C","CALL COINBASE GLOBAL INC$370 EXP 10/31/25","1","$4.30","$0.66","-$430.66"
"10/30/2025","Buy to Open","LLY 10/31/2025 850.00 C","CALL ELI LILLY AND CO $850 EXP 10/31/25","1","$4.70","$0.66","-$470.66"
"10/30/2025","Buy to Open","COIN 10/31/2025 300.00 P","PUT COINBASE GLOBAL INC $300 EXP 10/31/25","2","$1.67","$1.32","-$335.32"
"10/30/2025 as of 10/29/2025","Expired","SPXW 10/29/2025 6950.00 C","CALL S & P ...500 INDEX $6950 EXP 10/29/25","-1","","",""
"10/29/2025","Buy to Open","META 10/31/2025 820.00 C","CALL META PLATFORMS INC $820 EXP 10/31/25","1","$5.21","$0.66","-$521.66"
"10/29/2025","Buy to Open","SPXW 10/30/2025 6970.00 C","CALL S & P ...500 INDEX $6970 EXP 10/30/25","1","$3.30","$1.22","-$331.22"
"10/29/2025","Sell to Close","SPXW 10/29/2025 6850.00 P","PUT S & P ...500 INDEX $6850 EXP 10/29/25","1","$11.50","$1.22","$1148.78"
"10/29/2025","Buy to Open","ALGN 10/31/2025 160.00 C","CALL ALIGN TECHNOLOGY IN$160 EXP 10/31/25","2","$1.20","$1.32","-$241.32"
"10/29/2025","Sell to Close","GLD 11/05/2025 370.00 C","CALL SPDR GOLD TR $370 EXP 11/05/25","1","$4.68","$0.66","$467.34"
"10/29/2025","Buy to Open","GLD 11/05/2025 370.00 C","CALL SPDR GOLD TR $370 EXP 11/05/25","1","$5.15","$0.66","-$515.66"
"10/29/2025","Buy to Open","SPXW 10/29/2025 6850.00 P","PUT S & P ...500 INDEX $6850 EXP 10/29/25","1","$3.80","$1.22","-$381.22"
"10/29/2025","Sell to Close","BE 10/31/2025 150.00 C","CALL BLOOM ENERGY CORP $150 EXP 10/31/25","1","$3.14","$0.66","$313.34"
"10/29/2025","Buy to Open","BE 10/31/2025 150.00 C","CALL BLOOM ENERGY CORP $150 EXP 10/31/25","1","$1.00","$0.66","-$100.66"
"10/28/2025","Sell to Close","RH 10/31/2025 220.00 C","CALL RH $220 EXP 10/31/25","1","$1.80","$0.66","$179.34"
"10/28/2025","Buy to Open","RH 10/31/2025 220.00 C","CALL RH $220 EXP 10/31/25","1","$1.76","$0.66","-$176.66"
"10/28/2025","Buy to Open","SPXW 10/29/2025 6950.00 C","CALL S & P ...500 INDEX $6950 EXP 10/29/25","1","$2.55","$1.22","-$256.22"
"10/28/2025","Buy to Open","GS 10/31/2025 820.00 C","CALL GOLDMAN SACHS GROUP$820 EXP 10/31/25","2","$1.50","$1.32","-$301.32"
"10/28/2025","Sell to Close","CRWV 10/31/2025 140.00 C","CALL COREWEAVE INC $140 EXP 10/31/25","1","$4.96","$0.66","$495.34"
"10/28/2025","Buy to Open","ORCL 10/31/2025 300.00 C","CALL ORACLE CORP $300 EXP 10/31/25","1","$1.30","$0.66","-$130.66"
"10/28/2025","Buy to Open","GS 10/31/2025 820.00 C","CALL GOLDMAN SACHS GROUP$820 EXP 10/31/25","1","$2.13","$0.66","-$213.66"
"10/27/2025","Buy to Open","OKLO 10/31/2025 110.00 P","PUT OKLO INC $110 EXP 10/31/25","3","$1.15","$1.98","-$346.98"
"10/27/2025","Buy to Open","ARM 11/07/2025 210.00 C","CALL ARM HLDGS PLC EQUIT$210 EXP 11/07/25","1","$3.30","$0.66","-$330.66"
"10/27/2025 as of 10/24/2025","Expired","IREN 10/24/2025 70.00 C","CALL IREN LTD $70 EXP 10/24/25","-2","","",""
"10/27/2025 as of 10/24/2025","Expired","NBIS 10/24/2025 150.00 C","CALL NEBIUS GROUP N V A $150 EXP 10/24/25","-3","","",""
"10/27/2025 as of 10/24/2025","Expired","ORCL 10/24/2025 300.00 C","CALL ORACLE CORP $300 EXP 10/24/25","-12","","",""
"10/27/2025 as of 10/24/2025","Expired","CRWV 10/24/2025 140.00 C","CALL COREWEAVE INC $140 EXP 10/24/25","-1","","",""
"10/27/2025 as of 10/24/2025","Expired","ARM 10/24/2025 190.00 C","CALL ARM HLDGS PLC EQUIT$190 EXP 10/24/25","-5","","",""
"10/24/2025","Buy to Open","IREN 10/31/2025 70.00 C","CALL IREN LTD $70 EXP 10/31/25","1","$1.30","$0.66","-$130.66"
"10/24/2025","Cash Dividend","MSTY","YIELDMAX MSTR OPT INCM STRTGY ETF","","","","$10.61"
"10/24/2025","Buy to Open","CRWV 10/31/2025 150.00 C","CALL COREWEAVE INC $150 EXP 10/31/25","2","$1.05","$1.32","-$211.32"
"10/24/2025","Sell to Close","ORCL 10/24/2025 285.00 C","CALL ORACLE CORP $285 EXP 10/24/25","1","$1.67","$0.66","$166.34"
"10/24/2025","Buy to Open","CRWV 10/31/2025 140.00 C","CALL COREWEAVE INC $140 EXP 10/31/25","1","$2.50","$0.66","-$250.66"
"10/24/2025","Sell to Close","CRWV 10/24/2025 130.00 C","CALL COREWEAVE INC $130 EXP 10/24/25","5","$2.15","$3.31","$1071.69"
"10/24/2025","Sell to Close","GS 10/24/2025 770.00 C","CALL GOLDMAN SACHS GROUP$770 EXP 10/24/25","4","$2.72","$2.65","$1085.35"
"10/24/2025","Sell to Close","GS 10/24/2025 770.00 C","CALL GOLDMAN SACHS GROUP$770 EXP 10/24/25","1","$2.60","$0.66","$259.34"
"10/24/2025","Buy to Open","TSLA 10/31/2025 750.00 C","CALL TESLA INC $750 EXP 10/31/25","25","$0.01","$16.52","-$41.52"
"10/24/2025 as of 10/23/2025","MoneyLink Transfer","","Tfr WELLS FARGO BANK N, IRIS P CAMPOS","","","","$50.00"
"10/23/2025","Buy to Open","ORCL 10/24/2025 300.00 C","CALL ORACLE CORP $300 EXP 10/24/25","10","$0.11","$6.61","-$116.61"
"10/23/2025","Buy to Open","CRWV 10/24/2025 130.00 C","CALL COREWEAVE INC $130 EXP 10/24/25","5","$0.59","$3.30","-$298.30"
"10/23/2025","Buy to Open","GS 10/24/2025 770.00 C","CALL GOLDMAN SACHS GROUP$770 EXP 10/24/25","4","$1.05","$2.64","-$422.64"
"10/23/2025","Buy to Open","ORCL 10/24/2025 285.00 C","CALL ORACLE CORP $285 EXP 10/24/25","1","$1.10","$0.66","-$110.66"
"10/23/2025","Buy to Open","GS 10/24/2025 770.00 C","CALL GOLDMAN SACHS GROUP$770 EXP 10/24/25","1","$1.10","$0.66","-$110.66"
"10/22/2025","Sell","BKSY","BLACKSKY TECHNOLOGY INC","50","$21.3301","$0.01","$1066.50"
"10/22/2025","Sell","SLDP","SOLID PWR INC CLASS A","200","$5.51","$0.03","$1101.97"
"10/22/2025","Sell","UP","WHEELS UP EXPERIENCE INCCLASS A","500","$1.42","$0.08","$709.92"
"10/22/2025","Sell","USAR","USA RARE EARTH INC CLASS CLASS A","25","$23.6425","","$591.06"
"10/22/2025","Sell","LPTH","LIGHTPATH TECHNOLOGIES ICLASS A","50","$7.09","$0.01","$354.49"
"10/22/2025","Sell","BTBT","BIT DIGITAL INC. F","250","$3.5323","$0.04","$883.04"
"10/22/2025","Sell","HUT","HUT 8 CORP","20","$36.4506","","$729.01"
"10/22/2025","Sell to Close","NBIS 10/24/2025 95.00 P","PUT NEBIUS GROUP N V A $95 EXP 10/24/25","2","$1.795","$1.33","$357.67"
"10/22/2025","Sell to Close","OKLO 10/31/2025 120.00 P","PUT OKLO INC $120 EXP 10/31/25","1","$9.05","$0.66","$904.34"
"10/22/2025","Sell","CIFR","CIPHER MNG INC","125","$16.70","$0.02","$2087.48"
"10/22/2025","Sell","BFLY","BUTTERFLY NETWORK INC CLASS A","50","$2.1901","$0.01","$109.50"
"10/22/2025","Buy to Open","NBIS 10/24/2025 95.00 P","PUT NEBIUS GROUP N V A $95 EXP 10/24/25","2","$1.205","$1.32","-$242.32"
"10/22/2025","Sell","LWLG","LIGHTWAVE LOGIC INC","250","$4.66","$0.04","$1164.96"
"10/22/2025","Sell","ONDS","ONDAS HLDGS INC","225","$6.8712","$0.04","$1545.98"
"10/22/2025","Sell","BITF","BITFARMS LTD F","460","$4.1626","$0.08","$1914.72"
"10/22/2025","Buy to Open","ISRG 10/31/2025 600.00 C","CALL INTUITIVE SURGICAL $600 EXP 10/31/25","3","$1.65","$1.98","-$496.98"
"10/22/2025","Sell to Close","ISRG 10/24/2025 520.00 C","CALL INTUITIVE SURGICAL $520 EXP 10/24/25","1","$28.90","$0.66","$2889.34"
"10/21/2025","Buy to Open","OKLO 10/31/2025 120.00 P","PUT OKLO INC $120 EXP 10/31/25","1","$4.55","$0.66","-$455.66"
"10/21/2025","Buy to Open","ISRG 10/24/2025 520.00 C","CALL INTUITIVE SURGICAL $520 EXP 10/24/25","1","$2.70","$0.66","-$270.66"
"10/21/2025","Buy to Open","ORCL 10/24/2025 300.00 C","CALL ORACLE CORP $300 EXP 10/24/25","2","$0.83","$1.32","-$167.32"
"10/21/2025","Sell to Close","OKLO 10/24/2025 140.00 P","PUT OKLO INC $140 EXP 10/24/25","1","$4.20","$0.66","$419.34"
"10/20/2025","Buy to Open","CRWV 10/24/2025 140.00 C","CALL COREWEAVE INC $140 EXP 10/24/25","1","$2.09","$0.66","-$209.66"
"10/20/2025","Sell to Close","QQQ 10/20/2025 609.00 P","PUT INVESCO QQQ TR $609 EXP 10/20/25","10","$0.50","$6.64","$493.36"
"10/20/2025","Buy to Open","QQQ 10/20/2025 609.00 P","PUT INVESCO QQQ TR $609 EXP 10/20/25","10","$1.03","$6.61","-$1036.61"
"10/20/2025","Buy to Open","OKLO 10/24/2025 140.00 P","PUT OKLO INC $140 EXP 10/24/25","1","$2.75","$0.66","-$275.66"
"10/20/2025 as of 10/17/2025","Expired","LRCX 10/17/2025 149.00 C","CALL LAM RESH CORP $149 EXP 10/17/25","-1","","",""
"10/20/2025 as of 10/17/2025","Expired","COIN 10/17/2025 375.00 C","CALL COINBASE GLOBAL INC$375 EXP 10/17/25","-1","","",""
"10/20/2025 as of 10/17/2025","Expired","JD 10/17/2025 37.00 C","CALL JD COM INC $37 EXP 10/17/25","-2","","",""
"10/20/2025 as of 10/17/2025","Expired","GS 10/17/2025 820.00 C","CALL GOLDMAN SACHS GROUP$820 EXP 10/17/25","-1","","",""
"10/17/2025","Cash Dividend","MSTY","YIELDMAX MSTR OPT INCM STRTGY ETF","","","","$30.37"
"10/17/2025 as of 10/16/2025","MoneyLink Transfer","","Tfr WELLS FARGO BANK N, IRIS P CAMPOS","","","","$25.00"
"10/16/2025","Sell to Close","CRWV 10/24/2025 152.50 C","CALL COREWEAVE INC $152.5 EXP 10/24/25","3","$7.55","$1.99","$2263.01"
"10/16/2025","Buy to Open","ARM 10/24/2025 190.00 C","CALL ARM HLDGS PLC EQUIT$190 EXP 10/24/25","5","$1.70","$3.30","-$853.30"
"10/16/2025","Sell to Close","SPXW 10/16/2025 6650.00 P","PUT S & P ...500 INDEX $6650 EXP 10/16/25","1","$29.40","$1.22","$2938.78"
"10/16/2025","Buy to Open","SPXW 10/16/2025 6650.00 P","PUT S & P ...500 INDEX $6650 EXP 10/16/25","1","$8.20","$1.22","-$821.22"
"10/16/2025","Buy to Open","NBIS 10/24/2025 150.00 C","CALL NEBIUS GROUP N V A $150 EXP 10/24/25","3","$1.70","$1.98","-$511.98"
"10/16/2025","Buy to Open","IREN 10/24/2025 70.00 C","CALL IREN LTD $70 EXP 10/24/25","2","$4.10","$1.32","-$821.32"
"10/16/2025","Buy to Open","CRWV 10/24/2025 152.50 C","CALL COREWEAVE INC $152.5 EXP 10/24/25","3","$3.75","$1.98","-$1126.98"
"10/16/2025 as of 10/15/2025","MoneyLink Transfer","","Tfr WELLS FARGO BANK N, IRIS P CAMPOS","","","","$6000.00"
"10/15/2025","Buy","CIFR","CIPHER MNG INC","25","$20.75","","-$518.75"
"10/15/2025","Buy","SLDP","SOLID PWR INC CLASS A","100","$7.045","","-$704.50"
"10/15/2025","Sell to Close","LRCX 10/17/2025 149.00 C","CALL LAM RESH CORP $149 EXP 10/17/25","1","$1.09","$0.66","$108.34"
"10/15/2025","Sell to Close","SPXW 10/15/2025 6675.00 P","PUT S & P ...500 INDEX $6675 EXP 10/15/25","2","$13.90","$2.44","$2777.56"
"10/15/2025","Buy to Open","SPXW 10/15/2025 6675.00 P","PUT S & P ...500 INDEX $6675 EXP 10/15/25","2","$5.40","$2.44","-$1082.44"
"10/15/2025","Sell to Close","LRCX 10/17/2025 149.00 C","CALL LAM RESH CORP $149 EXP 10/17/25","3","$1.20","$1.99","$358.01"
"10/14/2025","Sell","BITF","BITFARMS LTD F","340","$5.8144","$0.06","$1976.84"
"10/14/2025","Buy to Open","LRCX 10/17/2025 149.00 C","CALL LAM RESH CORP $149 EXP 10/17/25","5","$0.64","$3.30","-$323.30"
"10/14/2025","Sell to Close","SPXW 10/14/2025 6680.00 C","CALL S & P ...500 INDEX $6680 EXP 10/14/25","1","$9.60","$1.22","$958.78"
"10/14/2025","Buy to Open","SPXW 10/14/2025 6680.00 C","CALL S & P ...500 INDEX $6680 EXP 10/14/25","1","$4.90","$1.22","-$491.22"
"10/14/2025","Sell to Close","SPXW 10/14/2025 6680.00 C","CALL S & P ...500 INDEX $6680 EXP 10/14/25","1","$2.85","$1.22","$283.78"
"10/14/2025","Sell to Close","SPXW 10/14/2025 6680.00 C","CALL S & P ...500 INDEX $6680 EXP 10/14/25","2","$3.70","$2.44","$737.56"
"10/14/2025","Buy to Open","SPXW 10/14/2025 6680.00 C","CALL S & P ...500 INDEX $6680 EXP 10/14/25","3","$0.95","$3.39","-$288.39"
"10/13/2025","Buy to Open","GS 10/17/2025 820.00 C","CALL GOLDMAN SACHS GROUP$820 EXP 10/17/25","1","$6.10","$0.66","-$610.66"
"10/13/2025","Buy to Open","COIN 10/17/2025 375.00 C","CALL COINBASE GLOBAL INC$375 EXP 10/17/25","1","$4.75","$0.66","-$475.66"
"10/13/2025","Buy","HUT","HUT 8 CORP","20","$45.5912","","-$911.82"
"10/13/2025 as of 10/10/2025","Expired","CRCL 10/10/2025 220.00 C","CALL CIRCLE INTERNET GRO$220 EXP 10/10/25","-5","","",""
"10/13/2025 as of 10/10/2025","Expired","BULL 10/10/2025 16.50 C","CALL WEBULL CORP $16.5 EXP 10/10/25","-2","","",""
"10/10/2025","Buy","LPTH","LIGHTPATH TECHNOLOGIES ICLASS A","50","$8.937","","-$446.85"
"10/10/2025","Buy","USAR","USA RARE EARTH INC CLASS CLASS A","25","$36.96","","-$924.00"
"10/10/2025","Sell","BITF","BITFARMS LTD F","200","$5.0533","$0.03","$1010.62"
"10/10/2025","Sell to Close","SOFI 10/10/2025 27.50 C","CALL SOFI TECHNOLOGIES I$27.5 EXP 10/10/25","2","$2.15","$1.33","$428.67"
"10/10/2025","Sell to Close","IREN 10/10/2025 70.00 C","CALL IREN LTD $70 EXP 10/10/25","2","$1.07","$1.33","$212.67"
"10/10/2025 as of 10/09/2025","MoneyLink Transfer","","Tfr WELLS FARGO BANK N, IRIS P CAMPOS","","","","$25.00"
"10/08/2025","Buy","BTBT","BIT DIGITAL INC. F","250","$4.00","","-$1000.00"
"10/08/2025","Buy","CIFR","CIPHER MNG INC","100","$15.565","","-$1556.50"
"10/08/2025","Buy","BKSY","BLACKSKY TECHNOLOGY INC","50","$30.60","","-$1530.00"
"10/08/2025 as of 10/07/2025","MoneyLink Transfer","","Tfr Wells Fargo Bank N, IRIS P CAMPOS","","","","$5000.00"
"10/07/2025","Buy to Open","BFLY 01/16/2026 4.00 C","CALL BUTTERFLY NETWORK I$4 EXP 01/16/26","10","$0.28","$6.61","-$286.61"
"10/07/2025","Sell to Close","IREN 10/10/2025 70.00 C","CALL IREN LTD $70 EXP 10/10/25","3","$1.19","$1.99","$355.01"
"10/07/2025","Buy to Open","CRCL 10/10/2025 220.00 C","CALL CIRCLE INTERNET GRO$220 EXP 10/10/25","5","$0.47","$3.30","-$238.30"
"10/07/2025","Buy","SLDP","SOLID PWR INC CLASS A","75","$5.9051","","-$442.88"
"10/07/2025","Buy to Open","IREN 10/10/2025 70.00 C","CALL IREN LTD $70 EXP 10/10/25","5","$0.63","$3.30","-$318.30"
"10/07/2025","Sell to Close","BMNR 11/21/2025 65.00 C","CALL BITMINE IMMERSION T$65 EXP 11/21/25","1","$9.80","$0.66","$979.34"
"10/07/2025","Sell to Close","PLUG 10/17/2025 4.50 C","CALL PLUG PWR INC $4.5 EXP 10/17/25","2","$0.34","$1.33","$66.67"
"10/07/2025","Buy","SLDP","SOLID PWR INC CLASS A","25","$5.6713","","-$141.78"
"10/06/2025 as of 10/03/2025","Expired","CRWV 10/03/2025 145.00 C","CALL COREWEAVE INC $145 EXP 10/03/25","-1","","",""
"10/06/2025 as of 10/03/2025","Expired","TSLA 10/03/2025 470.00 C","CALL TESLA INC $470 EXP 10/03/25","-1","","",""
"10/06/2025 as of 10/03/2025","Expired","BMNR 10/03/2025 60.00 C","CALL BITMINE IMMERSION T$60 EXP 10/03/25","-5","","",""
"10/06/2025 as of 10/03/2025","Expired","BULL 10/03/2025 16.00 C","CALL WEBULL CORP $16 EXP 10/03/25","-10","","",""
"10/06/2025 as of 10/03/2025","Expired","AVGO 10/03/2025 355.00 C","CALL BROADCOM INC $355 EXP 10/03/25","-10","","",""
"10/03/2025","Sell to Close","RGTI 10/03/2025 40.00 C","CALL RIGETTI COMPUTING I$40 EXP 10/03/25","1","$0.80","$0.66","$79.34"
"10/03/2025","Buy to Open","BULL 10/03/2025 16.00 C","CALL WEBULL CORP $16 EXP 10/03/25","10","$0.05","$6.61","-$56.61"
"10/03/2025","Buy to Open","RGTI 10/03/2025 40.00 C","CALL RIGETTI COMPUTING I$40 EXP 10/03/25","1","$0.24","$0.66","-$24.66"
"10/03/2025","Buy to Open","AVGO 10/03/2025 355.00 C","CALL BROADCOM INC $355 EXP 10/03/25","10","$0.08","$6.61","-$86.61"
"10/03/2025","Buy to Open","CRWV 10/03/2025 145.00 C","CALL COREWEAVE INC $145 EXP 10/03/25","1","$0.38","$0.66","-$38.66"
"10/03/2025 as of 10/02/2025","MoneyLink Transfer","","Tfr WELLS FARGO BANK N, IRIS P CAMPOS","","","","$25.00"
"10/02/2025","Buy to Open","BMNR 10/03/2025 60.00 C","CALL BITMINE IMMERSION T$60 EXP 10/03/25","5","$0.28","$3.30","-$143.30"
"10/02/2025","Buy","BITF","BITFARMS LTD F","450","$2.90","","-$1305.00"
"10/02/2025","Sell","LWLG","LIGHTWAVE LOGIC INC","250","$4.285","$0.04","$1071.21"
"10/02/2025","Buy to Open","BULL 01/16/2026 15.00 C","CALL WEBULL CORP $15 EXP 01/16/26","2","$3.05","$1.32","-$611.32"
"10/02/2025","Sell","ONDS","ONDAS HLDGS INC","100","$9.16","$0.02","$915.98"
"10/02/2025","Buy to Open","TSLA 10/03/2025 470.00 C","CALL TESLA INC $470 EXP 10/03/25","1","$2.74","$0.66","-$274.66"
"09/30/2025","Sell to Close","CRWV 10/17/2025 180.00 C","CALL COREWEAVE INC $180 EXP 10/17/25","2","$1.83","$1.33","$364.67"
"09/30/2025","Sell to Close","BULL 10/03/2025 15.00 C","CALL WEBULL CORP $15 EXP 10/03/25","2","$0.87","$1.33","$172.67"
"09/29/2025","Margin Interest","","INTEREST 08/28THRU 09/28","","","","-$9.64"
"09/29/2025 as of 09/26/2025","Expired","LDI 09/26/2025 5.00 C","CALL LOANDEPOT INC $5 EXP 09/26/25","-2","","",""
"09/29/2025 as of 09/26/2025","Expired","CRWV 09/26/2025 180.00 C","CALL COREWEAVE INC $180 EXP 09/26/25","-5","","",""
"09/29/2025 as of 09/26/2025","Expired","ORCL 09/26/2025 350.00 C","CALL ORACLE CORP $350 EXP 09/26/25","-4","","",""
"09/29/2025 as of 09/26/2025","Expired","HOOD 09/26/2025 150.00 C","CALL ROBINHOOD MKTS INC $150 EXP 09/26/25","-4","","",""
"09/29/2025 as of 09/26/2025","Expired","ETHA 09/26/2025 35.00 C","CALL ISHRS ETHEREUM TRST$35 EXP 09/26/25","-2","","",""
"09/29/2025 as of 09/26/2025","Expired","AVGO 09/26/2025 385.00 C","CALL BROADCOM INC $385 EXP 09/26/25","-75","","",""
"09/29/2025 as of 09/26/2025","Expired","NVDA 09/26/2025 195.00 C","CALL NVIDIA CORP $195 EXP 09/26/25","-3","","",""
"09/29/2025 as of 09/26/2025","Expired","JD 09/26/2025 40.00 C","CALL JD COM INC $40 EXP 09/26/25","-75","","",""
"09/29/2025 as of 09/26/2025","Expired","CRWV 09/26/2025 150.00 C","CALL COREWEAVE INC $150 EXP 09/26/25","-10","","",""
"09/26/2025","Buy to Open","BULL 10/10/2025 16.50 C","CALL WEBULL CORP $16.5 EXP 10/10/25","2","$1.01","$1.32","-$203.32"
"09/26/2025","Sell to Close","BULL 10/03/2025 15.00 C","CALL WEBULL CORP $15 EXP 10/03/25","2","$0.83","$1.33","$164.67"
"09/26/2025","Substitute Inc Pmt","MSTY","YIELDMAX MSTR OPT INCM STRTGY ETF","","","","$50.53"
"09/26/2025 as of 09/25/2025","MoneyLink Transfer","","Tfr WELLS FARGO BANK N, IRIS P CAMPOS","","","","$25.00"
"09/25/2025","Buy to Open","AVGO 09/26/2025 385.00 C","CALL BROADCOM INC $385 EXP 09/26/25","25","$0.04","$16.52","-$116.52"
"09/25/2025","Buy to Open","BULL 10/03/2025 15.00 C","CALL WEBULL CORP $15 EXP 10/03/25","2","$0.76","$1.32","-$153.32"
"09/25/2025","Buy to Open","JD 09/26/2025 40.00 C","CALL JD COM INC $40 EXP 09/26/25","50","$0.03","$33.05","-$183.05"
"09/24/2025","Buy to Open","CRWV 09/26/2025 150.00 C","CALL COREWEAVE INC $150 EXP 09/26/25","10","$0.35","$6.61","-$356.61"
"09/24/2025","Sell","LWLG","LIGHTWAVE LOGIC INC","200","$4.4245","$0.03","$884.87"
"09/24/2025","Buy to Open","HOOD 09/26/2025 150.00 C","CALL ROBINHOOD MKTS INC $150 EXP 09/26/25","4","$0.09","$2.64","-$38.64"
"09/24/2025","Buy to Open","BULL 01/16/2026 15.00 C","CALL WEBULL CORP $15 EXP 01/16/26","1","$3.04","$0.66","-$304.66"
"09/24/2025","Buy to Open","JD 09/26/2025 40.00 C","CALL JD COM INC $40 EXP 09/26/25","25","$0.07","$16.52","-$191.52"
"09/24/2025","Buy to Open","BULL 10/03/2025 15.00 C","CALL WEBULL CORP $15 EXP 10/03/25","2","$0.79","$1.32","-$159.32"
"09/24/2025","Buy to Open","AVGO 09/26/2025 385.00 C","CALL BROADCOM INC $385 EXP 09/26/25","50","$0.04","$33.05","-$233.05"
"09/24/2025","Sell","HIVE","HIVE DIGITAL TECHNOLOG F","50","$3.9101","$0.01","$195.50"
"09/24/2025","Sell","LDI","LOANDEPOT INC CLASS A","200","$3.3612","$0.03","$672.21"
"09/23/2025","Buy to Open","PLUG 10/17/2025 4.50 C","CALL PLUG PWR INC $4.5 EXP 10/17/25","2","$0.33","$1.32","-$67.32"
"09/22/2025","Buy to Open","NVDA 09/26/2025 195.00 C","CALL NVIDIA CORP $195 EXP 09/26/25","3","$0.62","$1.98","-$187.98"
"09/22/2025","Sell to Close","BFLY 01/16/2026 2.00 C","CALL BUTTERFLY NETWORK I$2 EXP 01/16/26","3","$0.52","$1.99","$154.01"
"09/22/2025","Sell to Close","RKT 10/17/2025 22.00 C","CALL ROCKET COMPANIES CL$22 EXP 10/17/25","1","$0.81","$0.66","$80.34"
